concepto_r_1_clean_ans,concepto_r_1_nouns,concepto_r_1_nouns_count,concepto_r_1_verbs,concepto_r_1_verbs_count,concepto_r_1_adjts,concepto_r_1_adjts_count,concepto_r_1_advbs,concepto_r_1_advbs_count,concepto_r_1_tokens,concepto_r_1_mean_tokens,df_1_clean_ans,df_1_nouns,df_1_nouns_count,df_1_verbs,df_1_verbs_count,df_1_adjts,df_1_adjts_count,df_1_advbs,df_1_advbs_count,df_1_tokens,df_1_mean_tokens,c1_1_clean_ans,c1_1_nouns,c1_1_nouns_count,c1_1_verbs,c1_1_verbs_count,c1_1_adjts,c1_1_adjts_count,c1_1_advbs,c1_1_advbs_count,c1_1_tokens,c1_1_mean_tokens,c2_1_clean_ans,c2_1_nouns,c2_1_nouns_count,c2_1_verbs,c2_1_verbs_count,c2_1_adjts,c2_1_adjts_count,c2_1_advbs,c2_1_advbs_count,c2_1_tokens,c2_1_mean_tokens,c3_1_clean_ans,c3_1_nouns,c3_1_nouns_count,c3_1_verbs,c3_1_verbs_count,c3_1_adjts,c3_1_adjts_count,c3_1_advbs,c3_1_advbs_count,c3_1_tokens,c3_1_mean_tokens,criterio_1_clean_ans,criterio_1_nouns,criterio_1_nouns_count,criterio_1_verbs,criterio_1_verbs_count,criterio_1_adjts,criterio_1_adjts_count,criterio_1_advbs,criterio_1_advbs_count,criterio_1_tokens,criterio_1_mean_tokens,concepto_r_2_clean_ans,concepto_r_2_nouns,concepto_r_2_nouns_count,concepto_r_2_verbs,concepto_r_2_verbs_count,concepto_r_2_adjts,concepto_r_2_adjts_count,concepto_r_2_advbs,concepto_r_2_advbs_count,concepto_r_2_tokens,concepto_r_2_mean_tokens,df_2_clean_ans,df_2_nouns,df_2_nouns_count,df_2_verbs,df_2_verbs_count,df_2_adjts,df_2_adjts_count,df_2_advbs,df_2_advbs_count,df_2_tokens,df_2_mean_tokens,c1_2_clean_ans,c1_2_nouns,c1_2_nouns_count,c1_2_verbs,c1_2_verbs_count,c1_2_adjts,c1_2_adjts_count,c1_2_advbs,c1_2_advbs_count,c1_2_tokens,c1_2_mean_tokens,c2_2_clean_ans,c2_2_nouns,c2_2_nouns_count,c2_2_verbs,c2_2_verbs_count,c2_2_adjts,c2_2_adjts_count,c2_2_advbs,c2_2_advbs_count,c2_2_tokens,c2_2_mean_tokens,c3_2_clean_ans,c3_2_nouns,c3_2_nouns_count,c3_2_verbs,c3_2_verbs_count,c3_2_adjts,c3_2_adjts_count,c3_2_advbs,c3_2_advbs_count,c3_2_tokens,c3_2_mean_tokens,c4_2_clean_ans,c4_2_nouns,c4_2_nouns_count,c4_2_verbs,c4_2_verbs_count,c4_2_adjts,c4_2_adjts_count,c4_2_advbs,c4_2_advbs_count,c4_2_tokens,c4_2_mean_tokens,criterio_2_clean_ans,criterio_2_nouns,criterio_2_nouns_count,criterio_2_verbs,criterio_2_verbs_count,criterio_2_adjts,criterio_2_adjts_count,criterio_2_advbs,criterio_2_advbs_count,criterio_2_tokens,criterio_2_mean_tokens,concepto_r_3_clean_ans,concepto_r_3_nouns,concepto_r_3_nouns_count,concepto_r_3_verbs,concepto_r_3_verbs_count,concepto_r_3_adjts,concepto_r_3_adjts_count,concepto_r_3_advbs,concepto_r_3_advbs_count,concepto_r_3_tokens,concepto_r_3_mean_tokens,df_3_clean_ans,df_3_nouns,df_3_nouns_count,df_3_verbs,df_3_verbs_count,df_3_adjts,df_3_adjts_count,df_3_advbs,df_3_advbs_count,df_3_tokens,df_3_mean_tokens,c1_3_clean_ans,c1_3_nouns,c1_3_nouns_count,c1_3_verbs,c1_3_verbs_count,c1_3_adjts,c1_3_adjts_count,c1_3_advbs,c1_3_advbs_count,c1_3_tokens,c1_3_mean_tokens,c2_3_clean_ans,c2_3_nouns,c2_3_nouns_count,c2_3_verbs,c2_3_verbs_count,c2_3_adjts,c2_3_adjts_count,c2_3_advbs,c2_3_advbs_count,c2_3_tokens,c2_3_mean_tokens,c3_3_clean_ans,c3_3_nouns,c3_3_nouns_count,c3_3_verbs,c3_3_verbs_count,c3_3_adjts,c3_3_adjts_count,c3_3_advbs,c3_3_advbs_count,c3_3_tokens,c3_3_mean_tokens,c4_3_clean_ans,c4_3_nouns,c4_3_nouns_count,c4_3_verbs,c4_3_verbs_count,c4_3_adjts,c4_3_adjts_count,c4_3_advbs,c4_3_advbs_count,c4_3_tokens,c4_3_mean_tokens,criterio_3_clean_ans,criterio_3_nouns,criterio_3_nouns_count,criterio_3_verbs,criterio_3_verbs_count,criterio_3_adjts,criterio_3_adjts_count,criterio_3_advbs,criterio_3_advbs_count,criterio_3_tokens,criterio_3_mean_tokens,concepto_r_4_clean_ans,concepto_r_4_nouns,concepto_r_4_nouns_count,concepto_r_4_verbs,concepto_r_4_verbs_count,concepto_r_4_adjts,concepto_r_4_adjts_count,concepto_r_4_advbs,concepto_r_4_advbs_count,concepto_r_4_tokens,concepto_r_4_mean_tokens,df_4_clean_ans,df_4_nouns,df_4_nouns_count,df_4_verbs,df_4_verbs_count,df_4_adjts,df_4_adjts_count,df_4_advbs,df_4_advbs_count,df_4_tokens,df_4_mean_tokens,c1_4_clean_ans,c1_4_nouns,c1_4_nouns_count,c1_4_verbs,c1_4_verbs_count,c1_4_adjts,c1_4_adjts_count,c1_4_advbs,c1_4_advbs_count,c1_4_tokens,c1_4_mean_tokens,c2_4_clean_ans,c2_4_nouns,c2_4_nouns_count,c2_4_verbs,c2_4_verbs_count,c2_4_adjts,c2_4_adjts_count,c2_4_advbs,c2_4_advbs_count,c2_4_tokens,c2_4_mean_tokens,c3_4_clean_ans,c3_4_nouns,c3_4_nouns_count,c3_4_verbs,c3_4_verbs_count,c3_4_adjts,c3_4_adjts_count,c3_4_advbs,c3_4_advbs_count,c3_4_tokens,c3_4_mean_tokens,c4_4_clean_ans,c4_4_nouns,c4_4_nouns_count,c4_4_verbs,c4_4_verbs_count,c4_4_adjts,c4_4_adjts_count,c4_4_advbs,c4_4_advbs_count,c4_4_tokens,c4_4_mean_tokens,criterio_4_clean_ans,criterio_4_nouns,criterio_4_nouns_count,criterio_4_verbs,criterio_4_verbs_count,criterio_4_adjts,criterio_4_adjts_count,criterio_4_advbs,criterio_4_advbs_count,criterio_4_tokens,criterio_4_mean_tokens,concepto_r_5_clean_ans,concepto_r_5_nouns,concepto_r_5_nouns_count,concepto_r_5_verbs,concepto_r_5_verbs_count,concepto_r_5_adjts,concepto_r_5_adjts_count,concepto_r_5_advbs,concepto_r_5_advbs_count,concepto_r_5_tokens,concepto_r_5_mean_tokens,df_5_clean_ans,df_5_nouns,df_5_nouns_count,df_5_verbs,df_5_verbs_count,df_5_adjts,df_5_adjts_count,df_5_advbs,df_5_advbs_count,df_5_tokens,df_5_mean_tokens,c1_5_clean_ans,c1_5_nouns,c1_5_nouns_count,c1_5_verbs,c1_5_verbs_count,c1_5_adjts,c1_5_adjts_count,c1_5_advbs,c1_5_advbs_count,c1_5_tokens,c1_5_mean_tokens,c2_5_clean_ans,c2_5_nouns,c2_5_nouns_count,c2_5_verbs,c2_5_verbs_count,c2_5_adjts,c2_5_adjts_count,c2_5_advbs,c2_5_advbs_count,c2_5_tokens,c2_5_mean_tokens,c3_5_clean_ans,c3_5_nouns,c3_5_nouns_count,c3_5_verbs,c3_5_verbs_count,c3_5_adjts,c3_5_adjts_count,c3_5_advbs,c3_5_advbs_count,c3_5_tokens,c3_5_mean_tokens,c4_5_clean_ans,c4_5_nouns,c4_5_nouns_count,c4_5_verbs,c4_5_verbs_count,c4_5_adjts,c4_5_adjts_count,c4_5_advbs,c4_5_advbs_count,c4_5_tokens,c4_5_mean_tokens,criterio_5_clean_ans,criterio_5_nouns,criterio_5_nouns_count,criterio_5_verbs,criterio_5_verbs_count,criterio_5_adjts,criterio_5_adjts_count,criterio_5_advbs,criterio_5_advbs_count,criterio_5_tokens,criterio_5_mean_tokens,concepto_r_6_clean_ans,concepto_r_6_nouns,concepto_r_6_nouns_count,concepto_r_6_verbs,concepto_r_6_verbs_count,concepto_r_6_adjts,concepto_r_6_adjts_count,concepto_r_6_advbs,concepto_r_6_advbs_count,concepto_r_6_tokens,concepto_r_6_mean_tokens,df_6_clean_ans,df_6_nouns,df_6_nouns_count,df_6_verbs,df_6_verbs_count,df_6_adjts,df_6_adjts_count,df_6_advbs,df_6_advbs_count,df_6_tokens,df_6_mean_tokens,c1_6_clean_ans,c1_6_nouns,c1_6_nouns_count,c1_6_verbs,c1_6_verbs_count,c1_6_adjts,c1_6_adjts_count,c1_6_advbs,c1_6_advbs_count,c1_6_tokens,c1_6_mean_tokens,c2_6_clean_ans,c2_6_nouns,c2_6_nouns_count,c2_6_verbs,c2_6_verbs_count,c2_6_adjts,c2_6_adjts_count,c2_6_advbs,c2_6_advbs_count,c2_6_tokens,c2_6_mean_tokens,c3_6_clean_ans,c3_6_nouns,c3_6_nouns_count,c3_6_verbs,c3_6_verbs_count,c3_6_adjts,c3_6_adjts_count,c3_6_advbs,c3_6_advbs_count,c3_6_tokens,c3_6_mean_tokens,criterio_6_clean_ans,criterio_6_nouns,criterio_6_nouns_count,criterio_6_verbs,criterio_6_verbs_count,criterio_6_adjts,criterio_6_adjts_count,criterio_6_advbs,criterio_6_advbs_count,criterio_6_tokens,criterio_6_mean_tokens
[nubes],,,,,,,,,,,[NS],,,,,,,,,,,[vapor],,,,,,,,,,,[leche],,,,,,,,,,,[NS],,,,,,,,,,,[imposible],,,,,,,,,,,[piel],,,,,,,,,,,[NS],,,,,,,,,,,[lisa],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[desvinculada],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[imposible],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[verano],,,,,,,,,,,[NS],,,,,,,,,,,[verano],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[literal],,,,,,,,,,,[NSvidad],,,,,,,,,,,[NS],,,,,,,,,,,[NSvidad],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[convencional],,,,,,,,,,
[nubes],,,,,,,,,,,[NS],,,,,,,,,,,[esponjosa],,,,,,,,,,,[arquitos],,,,,,,,,,,[NS],,,,,,,,,,,[desvinculada],,,,,,,,,,,[NS],,,,,,,,,,,[seda],,,,,,,,,,,[suave],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[desvinculada],,,,,,,,,,,[NS],,,,,,,,,,,[ardiente],,,,,,,,,,,"[quedar, viendo]",,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[metafora],,,,,,,,,,,[ojos],,,,,,,,,,,[NS],,,,,,,,,,,[redondos],,,,,,,,,,,[],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[desvinculado],,,,,,,,,,,[verano],,,,,,,,,,,[NS],,,,,,,,,,,[calor],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[metafora],,,,,,,,,,,[NS],,,,,,,,,,,[llego],,,,,,,,,,,[],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[metafora],,,,,,,,,,
[nubes],,,,,,,,,,,[NS],,,,,,,,,,,[niebla],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[desvinculada],,,,,,,,,,,[NS],,,,,,,,,,,[seda],,,,,,,,,,,[suave],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[metafora],,,,,,,,,,,[NS],,,,,,,,,,,[ardiente],,,,,,,,,,,[silenciosa],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[metafora],,,,,,,,,,,[NS],,,,,,,,,,,[amargos],,,,,,,,,,,[duros],,,,,,,,,,,[lagrimas],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[metafora],,,,,,,,,,,[verano],,,,,,,,,,,[NS],,,,,,,,,,,[calor],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[metafora],,,,,,,,,,,[NS],,,,,,,,,,,[llego],,,,,,,,,,,[],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[metafora],,,,,,,,,,
[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NN],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[dulce],,,,,,,,,,,[pequeNS],,,,,,,,,,,[hermosa],,,,,,,,,,,[gentil],,,,,,,,,,,[tierna],,,,,,,,,,,[metafora],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[],,,,,,,,,,,[NS],,,,,,,,,,,[quear],,,,,,,,,,,"[salio, sol]",,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[metafora],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[convencional],,,,,,,,,,
[nubes],,,,,,,,,,,[leche],,,,,,,,,,,[blancas],,,,,,,,,,,[bonita],,,,,,,,,,,[NS],,,,,,,,,,,[incierto],,,,,,,,,,,[NS],,,,,,,,,,,[seda],,,,,,,,,,,[lisa],,,,,,,,,,,[suave],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[metafora],,,,,,,,,,,[NS],,,,,,,,,,,[ardiente],,,,,,,,,,,[fuego],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[metafora],,,,,,,,,,,[ojos],,,,,,,,,,,[NS],,,,,,,,,,,[agua],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[desvinculado],,,,,,,,,,,[verano],,,,,,,,,,,[NS],,,,,,,,,,,"[arboles, crecen]",,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[metafora],,,,,,,,,,,[NSvidad],,,,,,,,,,,[NS],,,,,,,,,,,[familia],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[convencional],,,,,,,,,,
[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NN],,,,,,,,,,,[dientes],,,,,,,,,,,[perlas],,,,,,,,,,,[blancos],,,,,,,,,,,[duros],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[incierto],,,,,,,,,,,[NS],,,,,,,,,,,[dulce],,,,,,,,,,,[lindo],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[metafora],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NN],,,,,,,,,,,[NS],,,,,,,,,,,[quedo],,,,,,,,,,,[paso],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[metafora],,,,,,,,,,,"[tiempos, mejores]",,,,,,,,,,,[NS],,,,,,,,,,,[feliz],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[convencional],,,,,,,,,,
[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[significa],,,,,,,,,,,[NS],,,,,,,,,,,[perlas],,,,,,,,,,,[blancos],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[metafora],,,,,,,,,,,[NS],,,,,,,,,,,[dulce],,,,,,,,,,,[carinosa],,,,,,,,,,,[tierna],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[metafora],,,,,,,,,,,[NS],,,,,,,,,,,[hielo],,,,,,,,,,,[bonita],,,,,,,,,,,[alegre],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[metafora],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[convencioNSl],,,,,,,,,,,"[tiempos, mejores]",,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[convencional],,,,,,,,,,
[NS],,,,,,,,,,,[zacate],,,,,,,,,,,[],,,,,,,,,,,[choncho],,,,,,,,,,,[NS],,,,,,,,,,,[metafora],,,,,,,,,,,[dientes],,,,,,,,,,,[perlas],,,,,,,,,,,[plata],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[desvinculado],,,,,,,,,,,[NS],,,,,,,,,,,[dulce],,,,,,,,,,,[amable],,,,,,,,,,,[tierna],,,,,,,,,,,[generosa],,,,,,,,,,,[NS],,,,,,,,,,,[metafora],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[desvinculado],,,,,,,,,,,[NS],,,,,,,,,,,[quedo],,,,,,,,,,,[olvido],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[metafora],,,,,,,,,,,"[tiempos, mejores]",,,,,,,,,,,[NS],,,,,,,,,,,[dinero],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[convencional],,,,,,,,,,
[NS],,,,,,,,,,,[zacate],,,,,,,,,,,[seco],,,,,,,,,,,[maltratado],,,,,,,,,,,[NS],,,,,,,,,,,[metafora],,,,,,,,,,,[NS],,,,,,,,,,,[perlas],,,,,,,,,,,[brillantes],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[metafora],,,,,,,,,,,[NS],,,,,,,,,,,[dulce],,,,,,,,,,,[linda],,,,,,,,,,,[],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[metafora],,,,,,,,,,,[NS],,,,,,,,,,,[hielo],,,,,,,,,,,[hermosa],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[metafora],,,,,,,,,,,[NS],,,,,,,,,,,[quedo],,,,,,,,,,,[],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[metafora],,,,,,,,,,,"[tiempos, mejores]",,,,,,,,,,,[NS],,,,,,,,,,,[],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[convencional],,,,,,,,,,
[NS],,,,,,,,,,,[zacate],,,,,,,,,,,[zacate],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[literal],,,,,,,,,,,[NS],,,,,,,,,,,[perlas],,,,,,,,,,,[perlas],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[literal],,,,,,,,,,,[NS],,,,,,,,,,,[dulce],,,,,,,,,,,[dulce],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[literal],,,,,,,,,,,[NS],,,,,,,,,,,[hielo],,,,,,,,,,,[hielo],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[literal],,,,,,,,,,,[NS],,,,,,,,,,,[quedo],,,,,,,,,,,[quedo],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[convencioNSl],,,,,,,,,,,"[tiempos, mejores]",,,,,,,,,,,[NS],,,,,,,,,,,[],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[convencional],,,,,,,,,,
[cabello],,,,,,,,,,,[NS],,,,,,,,,,,[liso],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[desvinculada],,,,,,,,,,,[NS],,,,,,,,,,,[perlas],,,,,,,,,,,[blancos],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[metafora],,,,,,,,,,,[NS],,,,,,,,,,,[dulce],,,,,,,,,,,"[dulce, paleta]",,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[literal],,,,,,,,,,,[sonrisa],,,,,,,,,,,[NS],,,,,,,,,,,[feliz],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[desvinculado],,,,,,,,,,,[NS],,,,,,,,,,,[quedo],,,,,,,,,,,[],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[metafora],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[convencional],,,,,,,,,,
[cabello],,,,,,,,,,,[zacate],,,,,,,,,,,[suave],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[incierta],,,,,,,,,,,[NS],,,,,,,,,,,[perlas],,,,,,,,,,,[blancos],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[metafora],,,,,,,,,,,[NS],,,,,,,,,,,[dulce],,,,,,,,,,,[lista],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[metafora],,,,,,,,,,,[NS],,,,,,,,,,,[hielo],,,,,,,,,,,[bonita],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[metafora],,,,,,,,,,,[NS],,,,,,,,,,,[quedo],,,,,,,,,,,[],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[metafora],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[convencional],,,,,,,,,,
[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NN],,,,,,,,,,,[NS],,,,,,,,,,,[perlas],,,,,,,,,,,[hermosos],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[metafora],,,,,,,,,,,[NS],,,,,,,,,,,[dulce],,,,,,,,,,,[dulce],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[literal],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[],,,,,,,,,,,[NS],,,,,,,,,,,[quedo],,,,,,,,,,,[paso],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[metafora],,,,,,,,,,,"[tiempos, mejores]",,,,,,,,,,,[NS],,,,,,,,,,,[mejores],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[convencional],,,,,,,,,,
[cabello],,,,,,,,,,,[NS],,,,,,,,,,,[grande],,,,,,,,,,,[sedoso],,,,,,,,,,,[NS],,,,,,,,,,,[desvinculada],,,,,,,,,,,[NS],,,,,,,,,,,[perlas],,,,,,,,,,,[blancos],,,,,,,,,,,[duros],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[metafora],,,,,,,,,,,[NS],,,,,,,,,,,[dulce],,,,,,,,,,,[],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[metafora],,,,,,,,,,,[NS],,,,,,,,,,,[hielo],,,,,,,,,,,[grande],,,,,,,,,,,[feliz],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[metafora],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[metafora],,,,,,,,,,,"[tiempos, mejores]",,,,,,,,,,,[NS],,,,,,,,,,,"[semaNSs, mejores]",,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[convencional],,,,,,,,,,
[NS],,,,,,,,,,,[zacate],,,,,,,,,,,[picoso],,,,,,,,,,,[comezon],,,,,,,,,,,[NS],,,,,,,,,,,[metafora],,,,,,,,,,,[NS],,,,,,,,,,,[perlas],,,,,,,,,,,[brillantes],,,,,,,,,,,[relucientes],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[metafora],,,,,,,,,,,[NS],,,,,,,,,,,[dulce],,,,,,,,,,,[amable],,,,,,,,,,,[gentil],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[metafora],,,,,,,,,,,[NS],,,,,,,,,,,[hielo],,,,,,,,,,,"[aliento, frio]",,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[metafora],,,,,,,,,,,[NS],,,,,,,,,,,[quedo],,,,,,,,,,,[],,,,,,,,,,,[llego],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[metafora],,,,,,,,,,,"[tiempos, mejores]",,,,,,,,,,,[NS],,,,,,,,,,,[futuro],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[convencional],,,,,,,,,,
[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NN],,,,,,,,,,,[NS],,,,,,,,,,,[perlas],,,,,,,,,,,[blancos],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[metafora],,,,,,,,,,,[NS],,,,,,,,,,,[dulce],,,,,,,,,,,[],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[metafora],,,,,,,,,,,[NS],,,,,,,,,,,[hielo],,,,,,,,,,,[sonreir],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[metafora],,,,,,,,,,,[NS],,,,,,,,,,,[quedo],,,,,,,,,,,[quedo],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[convencioNSl],,,,,,,,,,,"[tiempos, mejores]",,,,,,,,,,,[NS],,,,,,,,,,,[ira],,,,,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[convencional],,,,,,,,,,
